1759103142.049233 server started (25535): version 3.4, socket /tmp/tmux-1000/default, protocol 8
1759103142.049248 on Linux 6.6.87.2-microsoft-standard-WSL2 #1 SMP PREEMPT_DYNAMIC Thu Jun  5 18:30:46 UTC 2025
1759103142.049252 using libevent 2.1.12-stable poll
1759103142.049254 using ncurses 6.4 20240113
1759103142.054675 args_parse: 4 = DC (type STRING)
1759103142.054677 args_parse: 5 = refresh-client -c (type COMMANDS)
1759103142.054681 cmd_parse_build_commands: bind-key -r -N "Reset so the visible part of the window follows the cursor" DC { refresh-client -c }
1759103142.054683 cmdq_get_command: [bind-key/0x63fd32437a20] group 618
1759103142.054685 cmdq_append <global>: [bind-key/0x63fd32437a20]
1759103142.054687 yylex_token: end at WS
1759103142.054688 yylex_token: bind
1759103142.054689 yylex_token: end at WS
1759103142.054691 yylex_token: -N
1759103142.054692 yylex_token: end at WS
1759103142.054694 yylex_token: Resize the pane up by 5
1759103142.054695 yylex_token: end at WS
1759103142.054697 yylex_token: -r
1759103142.054698 yylex_token: end at WS
1759103142.054700 yylex_token: M-Up
1759103142.054701 yylex_token: end at WS
1759103142.054703 yylex_token: resize-pane
1759103142.054704 yylex_token: end at WS
1759103142.054705 yylex_token: -U
1759103142.054707 yylex_token: end at WS
1759103142.054708 yylex_token: 5
1759103142.054710 cmd_parse_build_commands 0:0: bind
1759103142.054711 cmd_parse_build_commands 0:1: -N
1759103142.054713 cmd_parse_build_commands 0:2: Resize the pane up by 5
1759103142.054714 cmd_parse_build_commands 0:3: -r
1759103142.054716 cmd_parse_build_commands 0:4: M-Up
1759103142.054717 cmd_parse_build_commands 0:5 0:0: resize-pane
1759103142.054719 cmd_parse_build_commands 0:5 0:1: -U
1759103142.054720 cmd_parse_build_commands 0:5 0:2: 5
1759103142.054722 cmd_parse_build_commands 0:0: resize-pane
1759103142.054724 cmd_parse_build_commands 0:1: -U
1759103142.054725 cmd_parse_build_commands 0:2: 5
1759103142.054727 args_parse_flags: next -U
1759103142.054729 args_parse_flags: -U
1759103142.054730 args_parse_flags: next 5
1759103142.054732 args_parse: flags end at 2 of 3
1759103142.054733 args_parse: 2 = 5 (type STRING)
1759103142.054735 cmd_parse_build_commands: resize-pane -U 5
1759103142.054737 args_parse_flags: next -N
1759103142.054738 args_parse_flag_argument: -N = Resize the pane up by 5
1759103142.054740 args_parse_flags: next -r
1759103142.054741 args_parse_flags: -r
1759103142.054742 args_parse_flags: next M-Up
1759103142.054744 args_parse: flags end at 4 of 6
1759103142.054745 args_parse: 4 = M-Up (type STRING)
1759103142.054747 args_parse: 5 = resize-pane -U 5 (type COMMANDS)
1759103142.054750 cmd_parse_build_commands: bind-key -r -N "Resize the pane up by 5" M-Up { resize-pane -U 5 }
1759103142.054752 cmdq_get_command: [bind-key/0x63fd324380c0] group 626
1759103142.054754 cmdq_append <global>: [bind-key/0x63fd324380c0]
1759103142.054756 yylex_token: end at WS
1759103142.054757 yylex_token: bind
1759103142.054759 yylex_token: end at WS
1759103142.054760 yylex_token: -N
1759103142.054762 yylex_token: end at WS
1759103142.054763 yylex_token: Resize the pane down by 5
1759103142.054765 yylex_token: end at WS
1759103142.054766 yylex_token: -r
1759103142.054768 yylex_token: end at WS
1759103142.054769 yylex_token: M-Down
1759103142.054770 yylex_token: end at WS
1759103142.054772 yylex_token: resize-pane
1759103142.054773 yylex_token: end at WS
1759103142.054775 yylex_token: -D
1759103142.054776 yylex_token: end at WS
1759103142.054777 yylex_token: 5
1759103142.054779 cmd_parse_build_commands 0:0: bind
1759103142.054780 cmd_parse_build_commands 0:1: -N
1759103142.054782 cmd_parse_build_commands 0:2: Resize the pane down by 5
1759103142.054784 cmd_parse_build_commands 0:3: -r
1759103142.054785 cmd_parse_build_commands 0:4: M-Down
1759103142.054787 cmd_parse_build_commands 0:5 0:0: resize-pane
1759103142.054788 cmd_parse_build_commands 0:5 0:1: -D
1759103142.054790 cmd_parse_build_commands 0:5 0:2: 5
1759103142.054791 cmd_parse_build_commands 0:0: resize-pane
1759103142.054793 cmd_parse_build_commands 0:1: -D
1759103142.054794 cmd_parse_build_commands 0:2: 5
1759103142.054796 args_parse_flags: next -D
1759103142.054798 args_parse_flags: -D
1759103142.054799 args_parse_flags: next 5
1759103142.054804 args_parse: flags end at 2 of 3
1759103142.054805 args_parse: 2 = 5 (type STRING)
1759103142.054807 cmd_parse_build_commands: resize-pane -D 5
1759103142.054809 args_parse_flags: next -N
1759103142.054810 args_parse_flag_argument: -N = Resize the pane down by 5
1759103142.054812 args_parse_flags: next -r
1759103142.054813 args_parse_flags: -r
1759103142.054814 args_parse_flags: next M-Down
1759103142.054816 args_parse: flags end at 4 of 6
1759103142.054817 args_parse: 4 = M-Down (type STRING)
1759103142.054819 args_parse: 5 = resize-pane -D 5 (type COMMANDS)
1759103142.054822 cmd_parse_build_commands: bind-key -r -N "Resize the pane down by 5" M-Down { resize-pane -D 5 }
1759103142.054824 cmdq_get_command: [bind-key/0x63fd32438850] group 634
1759103142.054826 cmdq_append <global>: [bind-key/0x63fd32438850]
1759103142.054830 yylex_token: end at WS
1759103142.054831 yylex_token: bind
1759103142.054833 yylex_token: end at WS
1759103142.054834 yylex_token: -N
1759103142.054836 yylex_token: end at WS
1759103142.054837 yylex_token: Resize the pane left by 5
1759103142.054839 yylex_token: end at WS
1759103142.054840 yylex_token: -r
1759103142.054842 yylex_token: end at WS
1759103142.054843 yylex_token: M-Left
1759103142.054845 yylex_token: end at WS
1759103142.054846 yylex_token: resize-pane
1759103142.054847 yylex_token: end at WS
1759103142.054849 yylex_token: -L
1759103142.054850 yylex_token: end at WS
1759103142.054851 yylex_token: 5
1759103142.054853 cmd_parse_build_commands 0:0: bind
1759103142.054855 cmd_parse_build_commands 0:1: -N
1759103142.054856 cmd_parse_build_commands 0:2: Resize the pane left by 5
1759103142.054858 cmd_parse_build_commands 0:3: -r
1759103142.054859 cmd_parse_build_commands 0:4: M-Left
1759103142.054861 cmd_parse_build_commands 0:5 0:0: resize-pane
1759103142.054862 cmd_parse_build_commands 0:5 0:1: -L
1759103142.054864 cmd_parse_build_commands 0:5 0:2: 5
1759103142.054865 cmd_parse_build_commands 0:0: resize-pane
1759103142.054867 cmd_parse_build_commands 0:1: -L
1759103142.054868 cmd_parse_build_commands 0:2: 5
1759103142.054870 args_parse_flags: next -L
1759103142.054872 args_parse_flags: -L
1759103142.054873 args_parse_flags: next 5
1759103142.054875 args_parse: flags end at 2 of 3
1759103142.054876 args_parse: 2 = 5 (type STRING)
1759103142.054878 cmd_parse_build_commands: resize-pane -L 5
1759103142.054879 args_parse_flags: next -N
1759103142.054881 args_parse_flag_argument: -N = Resize the pane left by 5
1759103142.054882 args_parse_flags: next -r
1759103142.054884 args_parse_flags: -r
1759103142.054885 args_parse_flags: next M-Left
1759103142.054887 args_parse: flags end at 4 of 6
1759103142.054888 args_parse: 4 = M-Left (type STRING)
1759103142.054890 args_parse: 5 = resize-pane -L 5 (type COMMANDS)
1759103142.054893 cmd_parse_build_commands: bind-key -r -N "Resize the pane left by 5" M-Left { resize-pane -L 5 }
1759103142.054895 cmdq_get_command: [bind-key/0x63fd32438f30] group 642
1759103142.054896 cmdq_append <global>: [bind-key/0x63fd32438f30]
1759103142.054898 yylex_token: end at WS
1759103142.054900 yylex_token: bind
1759103142.054901 yylex_token: end at WS
1759103142.054902 yylex_token: -N
1759103142.054904 yylex_token: end at WS
1759103142.054905 yylex_token: Resize the pane right by 5
1759103142.054907 yylex_token: end at WS
1759103142.054908 yylex_token: -r
1759103142.054910 yylex_token: end at WS
1759103142.054911 yylex_token: M-Right
1759103142.054913 yylex_token: end at WS
1759103142.054914 yylex_token: resize-pane
1759103142.054915 yylex_token: end at WS
1759103142.054917 yylex_token: -R
1759103142.054918 yylex_token: end at WS
1759103142.054919 yylex_token: 5
1759103142.054921 cmd_parse_build_commands 0:0: bind
1759103142.054922 cmd_parse_build_commands 0:1: -N
1759103142.054924 cmd_parse_build_commands 0:2: Resize the pane right by 5
1759103142.054925 cmd_parse_build_commands 0:3: -r
1759103142.054927 cmd_parse_build_commands 0:4: M-Right
1759103142.054928 cmd_parse_build_commands 0:5 0:0: resize-pane
1759103142.054930 cmd_parse_build_commands 0:5 0:1: -R
1759103142.054935 cmd_parse_build_commands 0:5 0:2: 5
1759103142.054937 cmd_parse_build_commands 0:0: resize-pane
1759103142.054938 cmd_parse_build_commands 0:1: -R
1759103142.054940 cmd_parse_build_commands 0:2: 5
1759103142.054942 args_parse_flags: next -R
1759103142.054943 args_parse_flags: -R
1759103142.054945 args_parse_flags: next 5
1759103142.054946 args_parse: flags end at 2 of 3
1759103142.054947 args_parse: 2 = 5 (type STRING)
1759103142.054949 cmd_parse_build_commands: resize-pane -R 5
1759103142.054951 args_parse_flags: next -N
1759103142.054952 args_parse_flag_argument: -N = Resize the pane right by 5
1759103142.054954 args_parse_flags: next -r
1759103142.054955 args_parse_flags: -r
1759103142.054956 args_parse_flags: next M-Right
1759103142.054958 args_parse: flags end at 4 of 6
1759103142.054959 args_parse: 4 = M-Right (type STRING)
1759103142.054961 args_parse: 5 = resize-pane -R 5 (type COMMANDS)
1759103142.054964 cmd_parse_build_commands: bind-key -r -N "Resize the pane right by 5" M-Right { resize-pane -R 5 }
1759103142.054966 cmdq_get_command: [bind-key/0x63fd324396a0] group 650
1759103142.054968 cmdq_append <global>: [bind-key/0x63fd324396a0]
1759103142.054975 yylex_token: end at WS
1759103142.054976 yylex_token: bind
1759103142.054978 yylex_token: end at WS
1759103142.054979 yylex_token: -N
1759103142.054981 yylex_token: end at WS
1759103142.054982 yylex_token: Resize the pane up
1759103142.054984 yylex_token: end at WS
1759103142.054985 yylex_token: -r
1759103142.054986 yylex_token: end at WS
1759103142.054988 yylex_token: C-Up
1759103142.054989 yylex_token: end at WS
1759103142.054991 yylex_token: resize-pane
1759103142.054992 yylex_token: end at WS
1759103142.054993 yylex_token: -U
1759103142.054995 cmd_parse_build_commands 0:0: bind
1759103142.054997 cmd_parse_build_commands 0:1: -N
1759103142.054998 cmd_parse_build_commands 0:2: Resize the pane up
1759103142.055000 cmd_parse_build_commands 0:3: -r
1759103142.055001 cmd_parse_build_commands 0:4: C-Up
1759103142.055003 cmd_parse_build_commands 0:5 0:0: resize-pane
1759103142.055004 cmd_parse_build_commands 0:5 0:1: -U
1759103142.055006 cmd_parse_build_commands 0:0: resize-pane
1759103142.055007 cmd_parse_build_commands 0:1: -U
1759103142.055009 args_parse_flags: next -U
1759103142.055011 args_parse_flags: -U
1759103142.055012 args_parse: flags end at 2 of 2
1759103142.055014 cmd_parse_build_commands: resize-pane -U
1759103142.055016 args_parse_flags: next -N
1759103142.055017 args_parse_flag_argument: -N = Resize the pane up
1759103142.055019 args_parse_flags: next -r
1759103142.055020 args_parse_flags: -r
1759103142.055021 args_parse_flags: next C-Up
1759103142.055023 args_parse: flags end at 4 of 6
1759103142.055024 args_parse: 4 = C-Up (type STRING)
1759103142.055026 args_parse: 5 = resize-pane -U (type COMMANDS)
1759103142.055029 cmd_parse_build_commands: bind-key -r -N "Resize the pane up" C-Up { resize-pane -U }
1759103142.055031 cmdq_get_command: [bind-key/0x63fd32439a90] group 658
1759103142.055032 cmdq_append <global>: [bind-key/0x63fd32439a90]
1759103142.055034 yylex_token: end at WS
1759103142.055036 yylex_token: bind
1759103142.055037 yylex_token: end at WS
1759103142.055038 yylex_token: -N
1759103142.055040 yylex_token: end at WS
1759103142.055041 yylex_token: Resize the pane down
1759103142.055043 yylex_token: end at WS
1759103142.055044 yylex_token: -r
1759103142.055046 yylex_token: end at WS
1759103142.055047 yylex_token: C-Down
1759103142.055049 yylex_token: end at WS
1759103142.055050 yylex_token: resize-pane
1759103142.055051 yylex_token: end at WS
1759103142.055053 yylex_token: -D
1759103142.055054 cmd_parse_build_commands 0:0: bind
1759103142.055056 cmd_parse_build_commands 0:1: -N
1759103142.055057 cmd_parse_build_commands 0:2: Resize the pane down
1759103142.055059 cmd_parse_build_commands 0:3: -r
1759103142.055060 cmd_parse_build_commands 0:4: C-Down
1759103142.055062 cmd_parse_build_commands 0:5 0:0: resize-pane
1759103142.055063 cmd_parse_build_commands 0:5 0:1: -D
1759103142.055065 cmd_parse_build_commands 0:0: resize-pane
1759103142.055070 cmd_parse_build_commands 0:1: -D
1759103142.055072 args_parse_flags: next -D
1759103142.055074 args_parse_flags: -D
1759103142.055075 args_parse: flags end at 2 of 2
1759103142.055077 cmd_parse_build_commands: resize-pane -D
1759103142.055078 args_parse_flags: next -N
1759103142.055080 args_parse_flag_argument: -N = Resize the pane down
1759103142.055081 args_parse_flags: next -r
1759103142.055083 args_parse_flags: -r
1759103142.055084 args_parse_flags: next C-Down
1759103142.055086 args_parse: flags end at 4 of 6
1759103142.055087 args_parse: 4 = C-Down (type STRING)
1759103142.055089 args_parse: 5 = resize-pane -D (type COMMANDS)
1759103142.055092 cmd_parse_build_commands: bind-key -r -N "Resize the pane down" C-Down { resize-pane -D }
1759103142.055093 cmdq_get_command: [bind-key/0x63fd3243a020] group 666
1759103142.055095 cmdq_append <global>: [bind-key/0x63fd3243a020]
1759103142.055097 yylex_token: end at WS
1759103142.055098 yylex_token: bind
1759103142.055100 yylex_token: end at WS
1759103142.055101 yylex_token: -N
1759103142.055103 yylex_token: end at WS
1759103142.055104 yylex_token: Resize the pane left
1759103142.055106 yylex_token: end at WS
1759103142.055107 yylex_token: -r
1759103142.055108 yylex_token: end at WS
1759103142.055110 yylex_token: C-Left
1759103142.055111 yylex_token: end at WS
1759103142.055113 yylex_token: resize-pane
1759103142.055114 yylex_token: end at WS
1759103142.055115 yylex_token: -L
1759103142.055117 cmd_parse_build_commands 0:0: bind
1759103142.055119 cmd_parse_build_commands 0:1: -N
1759103142.055120 cmd_parse_build_commands 0:2: Resize the pane left
1759103142.055122 cmd_parse_build_commands 0:3: -r
1759103142.055123 cmd_parse_build_commands 0:4: C-Left
1759103142.055125 cmd_parse_build_commands 0:5 0:0: resize-pane
1759103142.055126 cmd_parse_build_commands 0:5 0:1: -L
1759103142.055128 cmd_parse_build_commands 0:0: resize-pane
1759103142.055129 cmd_parse_build_commands 0:1: -L
1759103142.055131 args_parse_flags: next -L
1759103142.055133 args_parse_flags: -L
1759103142.055134 args_parse: flags end at 2 of 2
1759103142.055136 cmd_parse_build_commands: resize-pane -L
1759103142.055137 args_parse_flags: next -N
1759103142.055139 args_parse_flag_argument: -N = Resize the pane left
1759103142.055140 args_parse_flags: next -r
1759103142.055142 args_parse_flags: -r
1759103142.055143 args_parse_flags: next C-Left
1759103142.055145 args_parse: flags end at 4 of 6
1759103142.055146 args_parse: 4 = C-Left (type STRING)
1759103142.055148 args_parse: 5 = resize-pane -L (type COMMANDS)
1759103142.055151 cmd_parse_build_commands: bind-key -r -N "Resize the pane left" C-Left { resize-pane -L }
1759103142.055152 cmdq_get_command: [bind-key/0x63fd3243a520] group 674
1759103142.055154 cmdq_append <global>: [bind-key/0x63fd3243a520]
1759103142.055158 yylex_token: end at WS
1759103142.055159 yylex_token: bind
1759103142.055161 yylex_token: end at WS
1759103142.055162 yylex_token: -N
1759103142.055164 yylex_token: end at WS
1759103142.055165 yylex_token: Resize the pane right
1759103142.055167 yylex_token: end at WS
1759103142.055168 yylex_token: -r
1759103142.055169 yylex_token: end at WS
1759103142.055171 yylex_token: C-Right
1759103142.055172 yylex_token: end at WS
1759103142.055174 yylex_token: resize-pane
1759103142.055175 yylex_token: end at WS
1759103142.055177 yylex_token: -R
1759103142.055178 cmd_parse_build_commands 0:0: bind
1759103142.055180 cmd_parse_build_commands 0:1: -N
1759103142.055181 cmd_parse_build_commands 0:2: Resize the pane right
1759103142.055183 cmd_parse_build_commands 0:3: -r
1759103142.055184 cmd_parse_build_commands 0:4: C-Right
1759103142.055186 cmd_parse_build_commands 0:5 0:0: resize-pane
1759103142.055187 cmd_parse_build_commands 0:5 0:1: -R
1759103142.055189 cmd_parse_build_commands 0:0: resize-pane
1759103142.055191 cmd_parse_build_commands 0:1: -R
1759103142.055193 args_parse_flags: next -R
1759103142.055194 args_parse_flags: -R
1759103142.055196 args_parse: flags end at 2 of 2
1759103142.055197 cmd_parse_build_commands: resize-pane -R
1759103142.055202 args_parse_flags: next -N
1759103142.055204 args_parse_flag_argument: -N = Resize the pane right
1759103142.055205 args_parse_flags: next -r
1759103142.055206 args_parse_flags: -r
1759103142.055208 args_parse_flags: next C-Right
1759103142.055209 args_parse: flags end at 4 of 6
1759103142.055211 args_parse: 4 = C-Right (type STRING)
1759103142.055212 args_parse: 5 = resize-pane -R (type COMMANDS)
1759103142.055215 cmd_parse_build_commands: bind-key -r -N "Resize the pane right" C-Right { resize-pane -R }
1759103142.055217 cmdq_get_command: [bind-key/0x63fd3243aac0] group 682
1759103142.055219 cmdq_append <global>: [bind-key/0x63fd3243aac0]
1759103142.055221 yylex_token: end at WS
1759103142.055222 yylex_token: bind
1759103142.055224 yylex_token: end at WS
1759103142.055225 yylex_token: <
1759103142.055227 yylex_token: end at WS
1759103142.055228 yylex_token: display-menu
1759103142.055229 yylex_token: end at WS
1759103142.055231 yylex_token: -xW
1759103142.055232 yylex_token: end at WS
1759103142.055234 yylex_token: -yW
1759103142.055235 yylex_token: end at WS
1759103142.055236 yylex_token: -T
1759103142.055238 yylex_token: end at WS
1759103142.055240 yylex_token: #[align=centre]#{window_index}:#{window_name}
1759103142.055242 yylex_token: end at WS
1759103142.055244 yylex_token: #{?#{>:#{session_windows},1},,-}Swap Left
1759103142.055245 yylex_token: end at WS
1759103142.055247 yylex_token: l
1759103142.055248 yylex_token: end at WS
1759103142.055250 yylex_token: swap-window
1759103142.055251 yylex_token: end at }
1759103142.055253 yylex_token: -t:-1
1759103142.055255 yylex_token: end at WS
1759103142.055256 yylex_token: #{?#{>:#{session_windows},1},,-}Swap Right
1759103142.055258 yylex_token: end at WS
1759103142.055259 yylex_token: r
1759103142.055261 yylex_token: end at WS
1759103142.055262 yylex_token: swap-window
1759103142.055264 yylex_token: end at }
1759103142.055265 yylex_token: -t:+1
1759103142.055267 yylex_token: end at WS
1759103142.055268 yylex_token: #{?pane_marked_set,,-}Swap Marked
1759103142.055270 yylex_token: end at WS
1759103142.055271 yylex_token: s
1759103142.055273 yylex_token: end at }
1759103142.055274 yylex_token: swap-window
1759103142.055276 yylex_token: end at WS
1759103142.055277 yylex_token: 
1759103142.055279 yylex_token: end at WS
1759103142.055280 yylex_token: Kill
1759103142.055281 yylex_token: end at WS
1759103142.055283 yylex_token: X
1759103142.055284 yylex_token: end at }
1759103142.055286 yylex_token: kill-window
1759103142.055287 yylex_token: end at WS
1759103142.055289 yylex_token: Respawn
1759103142.055290 yylex_token: end at WS
1759103142.055291 yylex_token: R
1759103142.055293 yylex_token: end at WS
1759103142.055294 yylex_token: respawn-window
1759103142.055296 yylex_token: end at }
1759103142.055297 yylex_token: -k
1759103142.055299 yylex_token: end at WS
1759103142.055300 yylex_token: #{?pane_marked,Unmark,Mark}
1759103142.055302 yylex_token: end at WS
1759103142.055303 yylex_token: m
1759103142.055305 yylex_token: end at WS
1759103142.055306 yylex_token: select-pane
1759103142.055308 yylex_token: end at }
1759103142.055309 yylex_token: -m
1759103142.055310 yylex_token: end at WS
1759103142.055312 yylex_token: Rename
1759103142.055313 yylex_token: end at WS
1759103142.055315 yylex_token: n
1759103142.055318 yylex_token: end at WS
1759103142.055320 yylex_token: command-prompt
1759103142.055321 yylex_token: end at WS
1759103142.055323 yylex_token: -FI
1759103142.055324 yylex_token: end at WS
1759103142.055326 yylex_token: #W
1759103142.055327 yylex_token: end at WS
1759103142.055329 yylex_token: rename-window
1759103142.055330 yylex_token: end at WS
1759103142.055331 yylex_token: -t
1759103142.055333 yylex_token: end at WS
1759103142.055334 yylex_token: #{window_id}
1759103142.055336 yylex_token: end at WS
1759103142.055337 yylex_token: --
1759103142.055338 yylex_token: end at }
1759103142.055340 yylex_token: %%
1759103142.055341 yylex_token: end at WS
1759103142.055343 yylex_token: 
1759103142.055344 yylex_token: end at WS
1759103142.055346 yylex_token: New After
1759103142.055350 yylex_token: end at WS
1759103142.055352 yylex_token: w
1759103142.055353 yylex_token: end at WS
1759103142.055355 yylex_token: new-window
1759103142.055356 yylex_token: end at }
1759103142.055357 yylex_token: -a
1759103142.055359 yylex_token: end at WS
1759103142.055361 yylex_token: New At End
1759103142.055362 yylex_token: end at WS
1759103142.055363 yylex_token: W
1759103142.055365 yylex_token: end at }
1759103142.055366 yylex_token: new-window
1759103142.055368 cmd_parse_build_commands 0:0: bind
1759103142.055370 cmd_parse_build_commands 0:1: <
1759103142.055372 cmd_parse_build_commands 0:2 0:0: display-menu
1759103142.055373 cmd_parse_build_commands 0:2 0:1: -xW
1759103142.055375 cmd_parse_build_commands 0:2 0:2: -yW
1759103142.055376 cmd_parse_build_commands 0:2 0:3: -T
1759103142.055378 cmd_parse_build_commands 0:2 0:4: #[align=centre]#{window_index}:#{window_name}
1759103142.055379 cmd_parse_build_commands 0:2 0:5: #{?#{>:#{session_windows},1},,-}Swap Left
1759103142.055381 cmd_parse_build_commands 0:2 0:6: l
1759103142.055383 cmd_parse_build_commands 0:2 0:7 0:0: swap-window
1759103142.055384 cmd_parse_build_commands 0:2 0:7 0:1: -t:-1
1759103142.055386 cmd_parse_build_commands 0:2 0:8: #{?#{>:#{session_windows},1},,-}Swap Right
1759103142.055387 cmd_parse_build_commands 0:2 0:9: r
1759103142.055389 cmd_parse_build_commands 0:2 0:10 0:0: swap-window
1759103142.055390 cmd_parse_build_commands 0:2 0:10 0:1: -t:+1
1759103142.055392 cmd_parse_build_commands 0:2 0:11: #{?pane_marked_set,,-}Swap Marked
1759103142.055394 cmd_parse_build_commands 0:2 0:12: s
1759103142.055395 cmd_parse_build_commands 0:2 0:13 0:0: swap-window
1759103142.055397 cmd_parse_build_commands 0:2 0:14: 
1759103142.055398 cmd_parse_build_commands 0:2 0:15: Kill
1759103142.055400 cmd_parse_build_commands 0:2 0:16: X
1759103142.055401 cmd_parse_build_commands 0:2 0:17 0:0: kill-window
1759103142.055403 cmd_parse_build_commands 0:2 0:18: Respawn
1759103142.055404 cmd_parse_build_commands 0:2 0:19: R
1759103142.055406 cmd_parse_build_commands 0:2 0:20 0:0: respawn-window
1759103142.055408 cmd_parse_build_commands 0:2 0:20 0:1: -k
1759103142.055409 cmd_parse_build_commands 0:2 0:21: #{?pane_marked,Unmark,Mark}
1759103142.055411 cmd_parse_build_commands 0:2 0:22: m
1759103142.055412 cmd_parse_build_commands 0:2 0:23 0:0: select-pane
1759103142.055414 cmd_parse_build_commands 0:2 0:23 0:1: -m
1759103142.055415 cmd_parse_build_commands 0:2 0:24: Rename
1759103142.055417 cmd_parse_build_commands 0:2 0:25: n
1759103142.055418 cmd_parse_build_commands 0:2 0:26 0:0: command-prompt
1759103142.055420 cmd_parse_build_commands 0:2 0:26 0:1: -FI
1759103142.055421 cmd_parse_build_commands 0:2 0:26 0:2: #W
1759103142.055423 cmd_parse_build_commands 0:2 0:26 0:3 0:0: rename-window
1759103142.055425 cmd_parse_build_commands 0:2 0:26 0:3 0:1: -t
1759103142.055428 cmd_parse_build_commands 0:2 0:26 0:3 0:2: #{window_id}
1759103142.055430 cmd_parse_build_commands 0:2 0:26 0:3 0:3: --
1759103142.055431 cmd_parse_build_commands 0:2 0:26 0:3 0:4: %%
1759103142.055433 cmd_parse_build_commands 0:2 0:27: 
1759103142.055434 cmd_parse_build_commands 0:2 0:28: New After
1759103142.055436 cmd_parse_build_commands 0:2 0:29: w
1759103142.055437 cmd_parse_build_commands 0:2 0:30 0:0: new-window
1759103142.055439 cmd_parse_build_commands 0:2 0:30 0:1: -a
1759103142.055440 cmd_parse_build_commands 0:2 0:31: New At End
1759103142.055442 cmd_parse_build_commands 0:2 0:32: W
1759103142.055443 cmd_parse_build_commands 0:2 0:33 0:0: new-window
1759103142.055445 cmd_parse_build_commands 0:0: display-menu
1759103142.055446 cmd_parse_build_commands 0:1: -xW
1759103142.055448 cmd_parse_build_commands 0:2: -yW
1759103142.055449 cmd_parse_build_commands 0:3: -T
1759103142.055451 cmd_parse_build_commands 0:4: #[align=centre]#{window_index}:#{window_name}
1759103142.055453 cmd_parse_build_commands 0:5: #{?#{>:#{session_windows},1},,-}Swap Left
1759103142.055454 cmd_parse_build_commands 0:6: l
1759103142.055456 cmd_parse_build_commands 0:7 0:0: swap-window
1759103142.055460 cmd_parse_build_commands 0:7 0:1: -t:-1
1759103142.055462 cmd_parse_build_commands 0:8: #{?#{>:#{session_windows},1},,-}Swap Right
1759103142.055463 cmd_parse_build_commands 0:9: r
1759103142.055465 cmd_parse_build_commands 0:10 0:0: swap-window
1759103142.055467 cmd_parse_build_commands 0:10 0:1: -t:+1
1759103142.055468 cmd_parse_build_commands 0:11: #{?pane_marked_set,,-}Swap Marked
1759103142.055470 cmd_parse_build_commands 0:12: s
1759103142.055471 cmd_parse_build_commands 0:13 0:0: swap-window
1759103142.055473 cmd_parse_build_commands 0:14: 
1759103142.055474 cmd_parse_build_commands 0:15: Kill
1759103142.055476 cmd_parse_build_commands 0:16: X
1759103142.055478 cmd_parse_build_commands 0:17 0:0: kill-window
1759103142.055480 cmd_parse_build_commands 0:18: Respawn
1759103142.055482 cmd_parse_build_commands 0:19: R
1759103142.055483 cmd_parse_build_commands 0:20 0:0: respawn-window
1759103142.055485 cmd_parse_build_commands 0:20 0:1: -k
1759103142.055486 cmd_parse_build_commands 0:21: #{?pane_marked,Unmark,Mark}
1759103142.055488 cmd_parse_build_commands 0:22: m
1759103142.055489 cmd_parse_build_commands 0:23 0:0: select-pane
1759103142.055491 cmd_parse_build_commands 0:23 0:1: -m
1759103142.055492 cmd_parse_build_commands 0:24: Rename
1759103142.055494 cmd_parse_build_commands 0:25: n
1759103142.055495 cmd_parse_build_commands 0:26 0:0: command-prompt
1759103142.055497 cmd_parse_build_commands 0:26 0:1: -FI
1759103142.055498 cmd_parse_build_commands 0:26 0:2: #W
1759103142.055500 cmd_parse_build_commands 0:26 0:3 0:0: rename-window
1759103142.055502 cmd_parse_build_commands 0:26 0:3 0:1: -t
1759103142.055503 cmd_parse_build_commands 0:26 0:3 0:2: #{window_id}
1759103142.055505 cmd_parse_build_commands 0:26 0:3 0:3: --
1759103142.055506 cmd_parse_build_commands 0:26 0:3 0:4: %%
1759103142.055508 cmd_parse_build_commands 0:27: 
1759103142.055509 cmd_parse_build_commands 0:28: New After
1759103142.055511 cmd_parse_build_commands 0:29: w
1759103142.055512 cmd_parse_build_commands 0:30 0:0: new-window
1759103142.055514 cmd_parse_build_commands 0:30 0:1: -a
1759103142.055515 cmd_parse_build_commands 0:31: New At End
1759103142.055517 cmd_parse_build_commands 0:32: W
1759103142.055518 cmd_parse_build_commands 0:33 0:0: new-window
1759103142.055520 cmd_parse_build_commands 0:0: swap-window
1759103142.055522 cmd_parse_build_commands 0:1: -t:-1
1759103142.055524 args_parse_flags: next -t:-1
1759103142.055526 args_parse_flag_argument: -t = :-1
1759103142.055527 args_parse: flags end at 2 of 2
1759103142.055529 cmd_parse_build_commands: swap-window -t :-1
1759103142.055531 cmd_parse_build_commands 0:0: swap-window
1759103142.055533 cmd_parse_build_commands 0:1: -t:+1
1759103142.055535 args_parse_flags: next -t:+1
1759103142.055536 args_parse_flag_argument: -t = :+1
1759103142.055538 args_parse: flags end at 2 of 2
1759103142.055540 cmd_parse_build_commands: swap-window -t :+1
1759103142.055542 cmd_parse_build_commands 0:0: swap-window
1759103142.055544 args_parse: flags end at 1 of 1
1759103142.055546 cmd_parse_build_commands: swap-window
1759103142.055548 cmd_parse_build_commands 0:0: kill-window
1759103142.055550 args_parse: flags end at 1 of 1
1759103142.055552 cmd_parse_build_commands: kill-window
